Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,islem,nblettres,puorth,puphon,nbsyll,cgramortho
absentaient,aps@tE,absenter,VER,6.14,0,0,11,0,0,3,VER
absentais,aps@tE,absenter,VER,6.14,0.04,0,9,0,0,3,VER
absentait,aps@tE,absenter,VER,6.14,0.16,0,9,0,0,3,VER
absentant,aps@t@,absenter,VER,6.14,0,0,9,0,0,3,VER
absente,aps@t,absenter,VER,6.14,1.46,0,7,0,0,2,"ADJ,NOM,VER"
absenter,aps@te,absenter,VER,6.14,2.9,1,8,7,6,3,VER
absentera,aps@t°Ra,absenter,VER,6.14,0.03,0,9,0,0,4,VER
absenterai,aps@t°RE,absenter,VER,6.14,0.03,0,10,0,0,4,VER
absenterait,aps@t°RE,absenter,VER,6.14,0,0,11,0,0,4,VER
absentes,aps@t,absenter,VER,6.14,0.07,0,8,0,0,2,"ADJ,NOM,VER"
absentèrent,aps@tER,absenter,VER,6.14,0,0,11,0,0,3,VER
absenté,aps@te,absenter,VER,6.14,0.89,0,7,0,6,3,VER
absentée,aps@te,absenter,VER,6.14,0.42,0,8,0,6,3,VER
absentés,aps@te,absenter,VER,6.14,0.15,0,8,0,6,3,VER
absinthant,aps5t@,absinther,VER,0,0,0,10,0,0,3,VER
absolvaient,apsOlvE,absoudre,VER,2.66,0,0,11,0,0,3,VER
absolvait,apsOlvE,absoudre,VER,2.66,0,0,9,0,0,3,VER
absolve,apsOlv,absoudre,VER,2.66,0.16,0,7,0,0,2,VER
absolvent,apsOlv,absoudre,VER,2.66,0,0,9,0,0,2,VER
absolves,apsOlv,absoudre,VER,2.66,0.01,0,8,0,0,2,VER
absorba,apsORba,absorber,VER,6.66,0.11,0,7,0,0,3,VER
absorbai,apsORbE,absorber,VER,6.66,0,0,8,0,0,3,VER
absorbaient,apsORbE,absorber,VER,6.66,0.04,0,11,0,0,3,VER
absorbais,apsORbE,absorber,VER,6.66,0,0,9,0,0,3,VER
absorbait,apsORbE,absorber,VER,6.66,0.2,0,9,0,0,3,VER
absorbant,apsORb@,absorber,VER,6.66,0.06,0,9,8,7,3,"ADJ,NOM,VER"
absorbe,apsORb,absorber,VER,6.66,1.61,0,7,0,0,2,VER
